vehicle_id,frame_id,total_frames,global_time,local_x,local_y,global_x,global_y,v_length,v_width,v_class,v_vel,v_acc,lane_id,o_zone,d_zone,int_id,section_id,direction,movement,preceding,following,space_headway,time_headway,location
5,6,155,1163030900,-48.125,726.116,2230536.396,1376263.872,15.1,6.6,2,0.0,0.0,0,122.0,203.0,2.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
5,39,155,1163034200,-48.125,726.116,2230536.396,1376263.872,15.1,6.6,2,0.0,0.0,0,122.0,203.0,2.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
5,43,155,1163034600,-48.125,726.116,2230536.396,1376263.872,15.1,6.6,2,0.0,0.0,0,122.0,203.0,2.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
5,97,155,1163040000,-47.503,726.112,2230537.007,1376263.754,15.1,6.6,2,2.43,2.46,0,122.0,203.0,2.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
5,122,155,1163042500,-24.995,717.362,2230557.586,1376251.353,15.1,6.6,2,14.1,12.27,0,122.0,203.0,2.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
5,142,155,1163044500,5.752,693.989,2230583.475,1376222.403,15.1,6.6,2,19.39,-1.83,0,122.0,203.0,2.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
5,18,452,1118846980700,39.581,79.153,6451149.701,1873296.953,17.0,7.9,2,40.0,0.0,4,,,,,,,0,0,0.0,0.0,us-101
5,40,452,1118846982900,40.353,161.462,6451205.496,1873235.499,17.0,7.9,2,34.01,-8.82,4,,,,,,,0,8,0.0,0.0,us-101
5,48,452,1118846983700,39.129,189.37,6451226.002,1873215.713,17.0,7.9,2,36.11,0.13,4,,,,,,,0,8,0.0,0.0,us-101
5,54,452,1118846984300,37.614,210.588,6451241.769,1873201.428,17.0,7.9,2,34.33,0.4,4,,,,,,,0,8,0.0,0.0,us-101
5,89,452,1118846987800,40.517,346.822,6451338.139,1873102.956,17.0,7.9,2,38.28,-11.2,4,,,,,,,0,8,0.0,0.0,us-101
5,148,452,1118846993700,41.572,572.897,6451505.513,1872948.742,17.0,7.9,2,39.84,2.05,4,,,,,,,0,8,0.0,0.0,us-101
5,190,452,1118846997900,42.495,743.136,6451632.776,1872835.049,17.0,7.9,2,39.92,1.65,4,,,,,,,0,8,0.0,0.0,us-101
5,202,452,1118846999100,42.136,791.333,6451669.173,1872803.559,17.0,7.9,2,41.74,8.24,4,,,,,,,0,8,0.0,0.0,us-101
5,207,452,1118846999600,41.773,812.84,6451685.563,1872789.625,17.0,7.9,2,42.95,-3.06,4,,,,,,,0,8,0.0,0.0,us-101
5,214,452,1118847000300,41.402,841.428,6451707.292,1872771.004,17.0,7.9,2,39.47,-1.28,4,,,,,,,0,8,0.0,0.0,us-101
5,241,452,1118847003000,41.791,949.038,6451788.156,1872699.673,17.0,7.9,2,41.37,10.79,4,,,,,,,0,8,0.0,0.0,us-101
5,262,452,1118847005100,42.268,1042.144,6451858.054,1872638.216,17.0,7.9,2,45.0,0.0,4,,,,,,,0,8,0.0,0.0,us-101
5,289,452,1118847007800,42.451,1163.73,6451949.545,1872558.268,17.0,7.9,2,45.33,-0.96,4,,,,,,,0,8,0.0,0.0,us-101
5,300,452,1118847008900,42.384,1213.264,6451986.819,1872525.697,17.0,7.9,2,44.97,-0.1,4,,,,,,,0,8,0.0,0.0,us-101
5,310,452,1118847009900,42.829,1263.268,6452024.144,1872492.4,17.0,7.9,2,52.18,-11.2,4,,,,,,,0,8,0.0,0.0,us-101
5,319,452,1118847010800,42.815,1308.327,6452058.11,1872462.657,17.0,7.9,2,49.6,1.14,4,,,,,,,0,8,0.0,0.0,us-101
5,340,452,1118847012900,43.18,1418.351,6452140.853,1872390.176,17.0,7.9,2,55.61,1.79,4,,,,,,,0,8,0.0,0.0,us-101
5,350,452,1118847013900,43.096,1473.511,6452182.225,1872353.935,17.0,7.9,2,55.0,0.0,4,,,,,,,0,8,0.0,0.0,us-101
5,425,452,1118847021400,43.951,1915.239,6452515.133,1872062.428,17.0,7.9,2,62.04,-11.2,4,,,,,,,0,8,0.0,0.0,us-101
5,444,452,1118847023300,43.339,2030.052,6452604.394,1871988.876,17.0,7.9,2,61.7,-0.09,4,,,,,,,0,8,0.0,0.0,us-101
5,449,452,1118847023800,42.924,2060.459,6452628.455,1871969.809,17.0,7.9,2,61.22,11.2,4,,,,,,,0,8,0.0,0.0,us-101
5,450,452,1118847023900,42.945,2066.663,6452633.388,1871965.856,17.0,7.9,2,62.72,11.2,4,,,,,,,0,8,0.0,0.0,us-101
5,43,846,1118847846300,4.011,74.746,6451146.299,1873353.963,13.0,6.9,2,2.39,0.0,1,,,,,,,0,0,0.0,0.0,us-101
5,54,846,1118847847400,4.987,76.772,6451146.713,1873352.042,13.0,6.9,2,3.8,11.2,1,,,,,,,0,0,0.0,0.0,us-101
5,59,846,1118847847900,5.019,82.056,6451150.454,1873347.829,13.0,6.9,2,13.36,-5.84,1,,,,,,,0,0,0.0,0.0,us-101
5,60,846,1118847848000,4.999,83.354,6451151.328,1873346.887,13.0,6.9,2,12.96,-3.55,1,,,,,,,0,0,0.0,0.0,us-101
5,64,846,1118847848400,4.971,88.697,6451154.903,1873342.949,13.0,6.9,2,14.63,4.41,1,,,,,,,0,0,0.0,0.0,us-101
